iata,name,location,country
KST,Kosti Airport,Kosti,Sudan
LGS,Comodoro D. Ricardo Salomón Airport (Malargüe Airport),"Malargüe, Mendoza",Argentina
LUV,Dumatubin Airport,"Langgur, Kai Islands",Indonesia
MHU,Mount Hotham Airport,"Mount Hotham, Victoria",Australia
MTA,Matamata Airport,Matamata,New Zealand
NMB,Daman Airport,Daman,India
OUR,Batouri Airport,Batouri,Cameroon
PSA,Galileo Galilei Airport,Pisa,Italy
RMG,Richard B.Russell Airport,"Rome, Georgia",United States
SKF,Lackland Air FORCE Base / Kelly Field Annex,"San Antonio, Texas",United States
TAG,Tagbilaran Airport,"Tagbilaran City, Bohol",Philippines
TVY,Dawei Airport,Dawei,Myanmar (Burma)
VUS,Velikiy Ustyug Airport,"Veliky Ustyug, Vologda",Russia
YAZ,Tofino Airport,"Tofino, British Columbia",Canada
YPP,Pine Point Airport,"Pine Point, Northwest Territories",Canada
ZNE,Newman Airport,"Newman, Western Australia",Australia
ADE,Aden International Airport,Aden,Yemen
APT,Marion County Airport (Brown Field),"Jasper, Tennessee",United States
BCR,Novo Campo Airport,"Boca do Acre, Amazonas",Brazil
BNB,Boende Airport,Boende,Democratic Republic of the Congo
BYU,Bindlacher Berg Airport,"Bayreuth, Bavaria",Germany
CKT,Sarakhs Airport,Sarakhs,Iran
CWS,Center Island Airport,"Center Island, Washington",United States
DRH,Dabra Airport,Dabra,Indonesia
ERQ,Elrose Airport,"Eloise Copper Mine, Queensland",Australia
FTE,Comandante Armando Tola International Airport,"El Calafate, Santa Cruz Province",Argentina
GRC,Grand Cess Airport,Grand Cess,Liberia
HLH,Ulanhot Airport,Ulanhot,China
ILA,Illaga Airport,Illaga,Indonesia
JIJ,Jijiga Airport,Jijiga,Ethiopia
KGG,Kédougou Airport,Kédougou,Senegal
KSU,"Kristiansund Airport, Kvernberget",Kristiansund,Norway
LGT,Gaviotas Airport,"Gaviotas, Vichada",Colombia
LUW,Syukuran Aminuddin Amir Airport,"Luwuk, Central Sulawesi",Indonesia
MHV,Mojave Airport,"Mojave, California",United States
MTB,Monte Libano Airport,Monte Libano,Colombia
NME,Nightmute Airport,"Nightmute, Alaska",United States
OUT,Bousso Airport,Bousso,Chad
PSB,Mid - State Airport,"Philipsburg, Pennsylvania",United States
RMI,Federico Fellini International Airport,Rimini,Italy
SKG,Makedonia Airport,Thessaloniki,Greece
TAI,Ta'izz International Airport,Ta'izz,Yemen
TWA,Twin Hills Airport,"Twin Hills, Alaska",United States
VVI,Viru Viru International Airport,Santa Cruz,Bolivia
YBA,Banff Airport,"Banff, Alberta",Canada
YPQ,Peterborough Airport,"Peterborough, Ontario",Canada
ZNG,Negginan Airport,"Negginan, Manitoba",Canada
ADF,Ad?yaman Airport,Ad?yaman,Turkey
APU,Apucarana Airport,"Apucarana, Paraná",Brazil
BCS,Southern Seaplane Airport,"Belle Chasse, Louisiana",United States
BNC,Beni Airport,"Beni, Nord-Kivu",Democratic Republic of the Congo
BYW,Blakely Island Airport,"Blakely Island, Washington",United States
CKU,Cordova Municipal Airport,"Cordova, Alaska",United States
